iter	Passed	Remaining
403	8667	12786
404	8685	12760
405	8702	12732
406	8718	12703
407	8734	12673
408	8750	12644
409	8768	12618
410	8791	12598
411	8811	12576
412	8831	12552
413	8849	12525
414	8899	12544
415	8949	12563
416	8974	12546
417	8992	12520
418	9012	12496
419	9029	12469
420	9047	12442
421	9064	12414
422	9082	12388
423	9101	12364
424	9118	12336
425	9136	12310
426	9156	12287
427	9173	12259
428	9191	12233
429	9208	12206
430	9224	12177
431	9243	12153
432	9260	12126
433	9278	12100
434	9294	12072
435	9310	12044
436	9327	12017
437	9344	11989
438	9360	11962
439	9376	11934
440	9393	11906
441	9410	11879
442	9428	11855
443	9453	11838
444	9477	11820
445	9505	11807
446	9538	11800
447	9566	11787
448	9585	11763
449	9604	11738
450	9622	11713
451	9639	11686
452	9655	11659
453	9671	11631
454	9689	11605
455	9706	11579
456	9723	11552
457	9743	11530
458	9763	11507
459	9781	11482
460	9797	11454
461	9814	11428
462	9832	11403
463	9848	11376
464	9870	11356
465	9887	11330
466	9902	11301
467	9918	11274
468	9935	11249
469	9953	11223
470	9969	11196
471	9985	11169
472	10001	11143
473	10018	11117
474	10039	11096
475	10058	11072
476	10088	11061
477	10113	11044
478	10143	11033
479	10173	11021
480	10198	11003
481	10215	10978
482	10233	10953
483	10250	10928
484	10268	10904
485	10286	10879
486	10307	10857
487	10326	10834
488	10345	10811
489	10365	10788
490	10383	10764
491	10402	10740
492	10420	10716
493	10436	10690
494	10453	10664
495	10469	10638
496	10484	10611
497	10501	10585
498	10524	10567
499	10545	10545
500	10564	10522
501	10585	10501
502	10605	10479
503	10626	10457
504	10644	10433
505	10663	10410
506	10679	10384
507	10696	10359
508	10712	10333
509	10732	10312
510	10748	10285
511	10763	10259
512	10781	10235
513	10799	10211
514	10819	10189
515	10844	10171
516	10874	10159
517	10904	10147
518	10929	10129
519	10956	10114
520	10974	10089
521	10992	10065
522	11009	10041
523	11024	10015
524	11041	9990
525	11060	9966
526	11077	9942
527	11094	9917
528	11111	9892
529	11127	9867
530	11144	9842
531	11160	9818
532	11182	9797
533	11200	9774
534	11219	9751
535	11239	9729
536	11257	9706
537	11278	9684
538	11296	9661
539	11315	9639
540	11334	9616
541	11351	9592
542	11373	9571
543	11391	9548
544	11408	9524
545	11426	9501
546	11444	9478
547	11461	9453
548	11479	9429
549	11499	9408
550	11516	9384
551	11535	9361
552	11552	9337
553	11571	9315
554	11590	9293
555	11611	9272
556	11639	9257
557	11663	9238
558	11694	9225
559	11727	9214
560	11756	9199
561	11774	9176
562	11792	9153
563	11809	9129
564	11830	9108
565	11850	9087
566	11869	9064
567	11887	9040
568	11904	9017
569	11921	8993
570	11939	8969
571	11953	8944
572	11970	8920
573	11987	8896
574	12002	8871
575	12020	8848
576	12044	8829
577	12063	8807
578	12082	8785
579	12100	8762
580	12118	8739
581	12137	8717
582	12162	8699
583	12179	8675
584	12197	8652
585	12215	8630
586	12234	8608
587	12251	8584
588	12266	8559
589	12283	8536
590	12298	8511
591	12314	8486
592	12330	8462
593	12346	8438
594	12364	8416
595	12380	8392
596	12396	8368
597	12412	8344
598	12430	8321
599	12448	8299
600	12467	8277
601	12488	8256
602	12510	8236
603	12540	8222
604	12569	8206
605	12592	8187
606	12611	8164
607	12628	8141
608	12647	8119
609	12663	8096
610	12680	8073
611	12703	8053
612	12719	8030
613	12733	8004
614	12746	7979
615	12759	7954
616	12774	7929
617	12790	7905
618	12814	7887
619	12826	7861
620	12840	7836
621	12857	7813
622	12874	7791
623	12890	7767
624	12905	7743
625	12921	7719
626	12937	7696
627	12951	7671
628	12965	7647
629	12979	7623
630	13002	7603
631	13021	7582
632	13050	7566
633	13068	7544
634	13087	7522
635	13108	7502
636	13130	7482
637	13147	7459
638	13162	7436
639	13179	7413
640	13196	7391
641	13213	7368
642	13229	7345
643	13248	7323
644	13266	7301
645	13284	7279
646	13303	7258
647	13322	7236
648	13342	7215
649	13364	7196
650	13382	7174
651	13403	7153
652	13424	7133
653	13443	7112
654	13461	7090
655	13480	7068
656	13497	7046
657	13513	7023
658	13532	7002
659	13548	6979
660	13570	6959
661	13592	6939
662	13615	6920
663	13633	6898
664	13650	6876
665	13670	6855
666	13691	6835
667	13710	6814
668	13724	6790
669	13745	6770
670	13762	6748
671	13778	6725
672	13798	6704
673	13815	6682
674	13832	6660
675	13849	6637
676	13866	6615
677	13885	6594
678	13904	6573
679	13921	6551
680	13941	6530
681	13959	6509
682	13979	6488
683	13999	6467
684	14015	6445
685	14034	6424
686	14055	6403
687	14073	6381
688	14089	6359
689	14106	6337
690	14125	6316
691	14144	6295
692	14163	6274
693	14182	6253
694	14210	6236
695	14250	6224
696	14292	6213
697	14321	6196
698	14349	6179
699	14371	6159
700	14388	6137
701	14405	6115
702	14424	6093
703	14443	6072
704	14462	6051
705	14480	6030
706	14499	6008
707	14521	5989
708	14541	5968
709	14558	5946
710	14579	5926
711	14596	5904
712	14614	5882
713	14632	5861
714	14650	5839
715	14672	5819
716	14689	5798
717	14707	5776
718	14726	5755
719	14744	5733
720	14760	5711
721	14775	5689
722	14794	5668
723	14813	5647
724	14830	5625
725	14853	5605
726	14885	5589
727	14914	5572
728	14941	5554
